	sum 	deprecate?	flag for upgrade?	comment
ABCtoolbox/2009	0			
ACTC/1.1-GCCcore-7.3.0	1			
ADMIXMAP/3.8.3103-openmp	0			
ADMIXTURE/1.3.0	1			
ADOL-C/2.6.3-GCCcore-7.3.0	0			
AFNI/18.3.08	249			
AFNI/20170412-foss-2016a-Python-2.7.11	0			
AFNI/2020.0.24	26			
AFNI/2020.1.01	39			
AFNI/linux_openmp_642018.05.21.2138	0			
ANGSD/0.930-foss-2018b	30			
ANGSD/0.933-foss-2018b	10			
ANNOVAR/2018Apr16-foss-2016b-Perl-5.24.1	0			
ANNOVAR/2020Jun08-foss-2018b-Perl-5.28.0	2			
ANTs/2.1.0	212			
ATK/2.20.0-foss-2016a	0			
ATK/2.22.0-foss-2016b	0			
ATK/2.26.0-foss-2017a	0			
ATK/2.28.1-foss-2018b	0			
ATLAS/3.10.2-GCC-5.4.0-2.26-LAPACK-3.6.1	4			
AdapterRemoval/2.2.2-foss-2016b	0			
AdapterRemoval/2.3.1-foss-2018b	22			
Anisotropy/3.0-16-03-2018	0			
Armadillo/9.700.2-foss-2018b	15			
Aspera-CLI/3.9.2.1426.c59787a	1			
Aspera-CLI/3.9.6.1467.159c5b1	0			
Augustus/3.2.3-foss-2016b	8			
Augustus/3.3.3	1			
Autoconf/2.69	1			
Autoconf/2.69-GCC-5.4.0-2.26	1			
Autoconf/2.69-GCCcore-4.9.3	0			
Autoconf/2.69-GCCcore-5.4.0	0			
Autoconf/2.69-GCCcore-6.3.0	0			
Autoconf/2.69-GCCcore-6.4.0	0			
Autoconf/2.69-GCCcore-7.3.0	2			
Autoconf/2.69-foss-2016a	0			
Autoconf/2.69-foss-2016b	0			
Autoconf/2.69-gcccuda-2016.10	0			
Automake/1.15	0			
Automake/1.15-GCC-5.4.0-2.26	1			
Automake/1.15-GCCcore-4.9.3	0			
Automake/1.15-GCCcore-5.4.0	0			
Automake/1.15-GCCcore-6.3.0	0			
Automake/1.15-foss-2016a	0			
Automake/1.15-foss-2016b	0			
Automake/1.15-gcccuda-2016.10	0			
Automake/1.15.1-GCCcore-6.4.0	0			
Automake/1.16.1-GCCcore-7.3.0	1			
Autotools/20150215	0			
Autotools/20150215-GCC-5.4.0-2.26	0			
Autotools/20150215-GCCcore-4.9.3	0			
Autotools/20150215-GCCcore-5.4.0	0			
Autotools/20150215-GCCcore-6.3.0	0			
Autotools/20150215-foss-2016a	0			
Autotools/20150215-foss-2016b	0			
Autotools/20150215-gcccuda-2016.10	0			
Autotools/20170619-GCCcore-6.4.0	0			
Autotools/20180311-GCCcore-7.3.0	1			
BAMM/2.5.0-foss-2016b	34			
BBMap/36.62-foss-2016b-Java-1.8.0_121	994			
BCFtools/1.5-foss-2016b	50			
BCFtools/1.9-foss-2018b	295			
BEDOPS/2.4.20	41			
BEDTools/2.26.0-foss-2016a	3			
BEDTools/2.26.0-foss-2016b	150			
BEDTools/2.27.1-foss-2016b	301			
BEDTools/2.27.1-foss-2018b	829			
BEDTools/2.29.2-foss-2018b	329			
BLASR/5.3-foss-2016a	0			
BLAST+/2.3.0-foss-2016a-Python-2.7.11	0			
BLAST+/2.4.0-foss-2016a-Python-2.7.11	0			
BLAST+/2.6.0-foss-2016b-Python-2.7.13	26			
BLAST+/2.7.1-foss-2016b-Python-2.7.13	6			
BLAST+/2.8.1-foss-2016b-Python-2.7.13	12			
BLAST+/2.8.1-foss-2018b	172			
BLAST/2.2.22-Linux_x86_64	158			
BLAST/2.2.26-Linux_x86_64	92			
BLAT/3.5-foss-2016b	0			
BLAT/3.5-foss-2018b	1			
BUSCO/3.0.2-foss-2016b-Python-2.7.13	6			
BWA/0.7.15-foss-2016a	0			
BWA/0.7.17-foss-2016b	1			
BWA/0.7.17-foss-2018b	448			
BamTools/2.4.1-foss-2016b	0			
BamTools/2.5.1-foss-2016b	15			
BamTools/2.5.1-foss-2018b	1005			
BayeScan/2.1-foss-2016a	0			
Bazel/0.4.4	0			
Bazel/0.5.1-foss-2016b	0			
Beast/1.10.4	119			
Beast/1.8.4	61			
Beast/2.4.4-foss-2016a	0			
Beast/2.4.7-foss-2016b	0			
Beast/2.5.1-foss-2016b	0			
Beast/2.5.2-foss-2018b	110			
Beast/2.5.2-fosscuda-2018b	136			
Bio++/2.4.1-foss-2016b-core	0			
Bio-DB-BigFile/1.07-foss-2018b-Perl-5.28.0	0			
Bio-SamTools/1.43-foss-2016b-Perl-5.24.1	0			
BioPerl/1.7.1-foss-2016a-Perl-5.24.1	0			
BioPerl/1.7.1-foss-2016b-Perl-5.24.1	12			
BioPerl/1.7.2-foss-2018b-Perl-5.28.0	241			
Biopython/1.69-foss-2016a-Python-2.7.11	77			
Bismark/0.22.3-foss-2018b	1			
Bison/2.7	0			
Bison/2.7-GCCcore-6.3.0	0			
Bison/2.7-foss-2016b	0			
Bison/3.0.4	0			
Bison/3.0.4-GCCcore-4.9.3	0			
Bison/3.0.4-GCCcore-4.9.4	0			
Bison/3.0.4-GCCcore-5.4.0	0			
Bison/3.0.4-GCCcore-6.3.0	0			
Bison/3.0.4-GCCcore-6.4.0	0			
Bison/3.0.4-GCCcore-7.3.0	0			
Bison/3.0.4-foss-2016a	0			
Bison/3.0.4-foss-2016b	0			
Bison/3.0.4-gcccuda-2016.10	0			
Bison/3.0.5-GCCcore-7.3.0	1			
Blosc/1.11.1-foss-2016a	5			
Boost/1.54.0-foss-2016b-Python-2.7.12	0			
Boost/1.55.0-foss-2016a-Python-2.7.11	21			
Boost/1.58.0-foss-2016a-Python-2.7.11	106			
Boost/1.58.0-foss-2016b-Python-2.7.11	54			
Boost/1.61.0-foss-2016a	13			
Boost/1.61.0-foss-2016a-Python-2.7.11	1			
Boost/1.61.0-foss-2016b	45			
Boost/1.63.0-foss-2016a-Python-2.7.11	0			
Boost/1.63.0-foss-2016b-Python-2.7.11	0			
Boost/1.63.0-foss-2016b-Python-2.7.13	6			
Boost/1.63.0-foss-2018b-Python-2.7.15	0			
Boost/1.67.0-foss-2018b	341			
Boost/1.68.0-foss-2018b-Python-2.7.15	1			
Bowtie/1.1.2-foss-2016a	0			
Bowtie/1.1.2-foss-2016b	1			
Bowtie/1.2.2-foss-2018b	373			
Bowtie2/2.2.8-foss-2016a	1			
Bowtie2/2.2.8-foss-2016b	3			
Bowtie2/2.2.9-foss-2016a	11			
Bowtie2/2.3.4.1-foss-2016b	101			
Bowtie2/2.3.4.2-foss-2018b	10268			
BreakDancer/1.4.5-foss-2016b	0			
Bsoft/1.9.4	19			
C3D/1.1.0-Linux-x86_64	0			
CAP3/20071221-intel-x86_64	0			
CBLAS/20110120-foss-2016b	0			
CCP4/7.0	1559			
CD-HIT/3.1.1-2007-0131	5			
CFITSIO/3.38-foss-2016a	23			
CFITSIO/3.45-GCCcore-7.3.0	0			
CGAL/4.11.1-foss-2018b-Python-3.7.0	0			
CLAPACK/3.2.1-GCC-6.4.0-2.28	1			
CLAPACK/3.2.1-GCC-7.3.0-2.30	14			
CLHEP/2.3.1.1-foss-2016a	22			
CLIPper/1.2.1-foss-2016b-Python-2.7.13	0			
CMake/3.11.4-GCCcore-7.3.0	1			
CMake/3.12.0	4			
CMake/3.12.1	347			
CMake/3.12.1-GCCcore-7.3.0	6			
CMake/3.15.3-GCCcore-7.3.0	2			
CMake/3.4.1-foss-2016a	1			
CMake/3.4.3-foss-2016a	0			
CMake/3.5.2-foss-2016a	0			
CMake/3.5.2-foss-2016b	0			
CMake/3.6.1-foss-2016b	0			
CMake/3.6.2-foss-2016a	4			
CMake/3.6.2-gcccuda-2016.08	0			
CMake/3.7.2-GCCcore-6.3.0	0			
CMake/3.7.2-foss-2016a	0			
CMake/3.7.2-foss-2016b	0			
CMake/3.7.2-gcccuda-2016.10	1			
CMake/3.9.1	1			
CMake/3.9.1-GCCcore-6.3.0	0			
