	sum 	toolchain	unused	deprecate?	flag for upgrade, then deprecate?	flag for upgrade only	hide only	comments
ACTC/1.1-GCCcore-6.4.0	727							
ADF/2017.107	21373	system						
AFNI/2019.0.24	85	system						
ANTLR/2.7.7-iomkl-2018a-Python-3.6.4	472	2018a				Y		
APR-util/1.6.1-iomkl-2018a	79	2018a				Y		
APR/1.6.3-iomkl-2018a	79	2018a				Y		
ATK/2.28.1-foss-2018a	39014	2018a				Y		
AmberTools/17-iomkl-2018a	760	2018a				Y		
Armadillo/8.400.0-foss-2018a	2845	2018a				Y		
Armadillo/8.400.0-foss-2018a-Python-3.6.4	42277	2018a				Y		
Arrow/0.12.0-foss-2018b-Python-2.7.15	0	2018b	Y	Y				
Autoconf/2.69-GCCcore-5.4.0	0	2016b	Y	Y				
Autoconf/2.69-GCCcore-6.4.0	2	2018a	Y	Y				
Autoconf/2.69-GCCcore-7.3.0	4	2018b	Y					
Autoconf/2.69-foss-2016b	0	2016b	Y	Y				
Automake/1.15-GCCcore-5.4.0	0	2016b	Y	Y				
Automake/1.15-foss-2016b	0	2016b	Y	Y				
Automake/1.15.1-GCCcore-6.4.0	2	2018a	Y	Y				
Automake/1.16.1-GCCcore-7.3.0	3	2018b	Y					
Autotools/20150215-GCCcore-5.4.0	0	2016b	Y	Y				
Autotools/20150215-foss-2016b	0	2016b	Y	Y				
Autotools/20170619-GCCcore-6.4.0	0	2018a	Y	Y				
Autotools/20180311-GCCcore-7.3.0	3	2018b	Y					
Avogadro/1.2.0-foss-2018a	1	2018a	Y	Y				
BOSS/0615	11	system						
BOSS/0919	209	system						
BWA/0.7.17-foss-2018a	988	2018a				Y		
BamTools/2.5.1-foss-2018a	1	2018a	Y	Y				
BerkeleyGW/2.0.0-foss-2018b	1	2018b	Y	Y				
BerkeleyGW/2.1.0-foss-2018b	1028	2018b						
Bison/2.7	0	system	Y				hide	
Bison/3.0.4	0	system	Y				hide	
Bison/3.0.4-GCCcore-5.4.0	0	2016b	Y				hide	
Bison/3.0.4-GCCcore-6.4.0	0	2018a	Y				hide	
Bison/3.0.4-GCCcore-7.3.0	0	2018b	Y				hide	
Bison/3.0.4-foss-2016b	0	2016b	Y	Y				
