	sum 	other
AFNI/2017.08.11	711	
AFNI/2018.08.28	80483	
AFNI/2020.1.01	509	
ANTs/2.3.1-foss-2018a	1	
ATK/2.28.1-foss-2018a	25	
Autoconf/2.69	0	
Autoconf/2.69-GCCcore-6.4.0	2	
Autoconf/2.69-GCCcore-7.3.0	0	
Automake/1.15	0	
Automake/1.15.1-GCCcore-6.4.0	1	
Automake/1.16.1-GCCcore-7.3.0	0	
Autotools/20150215	0	
Autotools/20170619-GCCcore-6.4.0	1	
Autotools/20180311-GCCcore-7.3.0	0	
BXH_XCEDE_TOOLS/1.11.1	59886	
BioImageSuite/3.01	0	
Bison/3.0.4	0	
Bison/3.0.4-GCCcore-5.4.0	0	
Bison/3.0.4-GCCcore-6.4.0	0	
Bison/3.0.4-GCCcore-7.3.0	0	
Bison/3.0.5-GCCcore-7.3.0	0	
Blender/2.79b-foss-2018a-Python-3.6.4	9	
Boost/1.66.0-foss-2018a-Python-2.7.14	0	
Boost/1.66.0-foss-2018a-Python-3.6.4	15	
Boost/1.67.0-foss-2018a-Python-2.7.14	1	
Boost/1.67.0-foss-2018b	0	
CMake/3.10.2-GCCcore-6.4.0	1	
CMake/3.11.4-GCCcore-7.3.0	0	
CMake/3.12.0	0	
CMake/3.12.1-GCCcore-6.4.0	26	
CMake/3.12.1-GCCcore-7.3.0	0	
CMake/3.9.5-GCCcore-6.4.0	1	
CUDA/10.1.105	1826	
CUDA/10.2.89	10433	
CUDA/7.5.18	0	
CUDA/9.1.85	1	
CUDA/9.1.85-GCC-6.4.0-2.28	439	
CUDA/9.2.148.1	3	
Caffe/rc2-foss-2018a-cpm-fork	0	
Caret/5.65	20397	
ConnectomeWorkbench/1.2.2	0	
ConnectomeWorkbench/1.3.2	493637	
ConnectomeWorkbench/1.4.2	2471	
DCMTK/3.6.4	2	
DSI_Studio/2017_12_13	0	
DTIPrep/1.2.4	0	
Doxygen/1.8.14-GCCcore-6.4.0	0	
EasyBuild/3.6.2	0	
EasyBuild/3.9.1	0	
EasyBuild/3.9.3	0	
EasyBuild/4.0.0	13	
EasyBuild/4.2.2	35	
EasyBuild/4.3.0	0	
EasyBuild/4.3.1	0	
Eigen/3.3.2-foss-2016b	0	
Eigen/3.3.4	64	
Eigen/3.3.7	0	
FFTW/3.3.4-gompi-2016b	0	
FFTW/3.3.7-gompi-2018a	16483	
FFTW/3.3.8-gompi-2018b	0	
FFmpeg/2.8.3-foss-2018a	0	
FFmpeg/3.4.2-foss-2018a	144	
FSL/5.0.10	36944	
FSL/5.0.10-centos7_64	0	
FSL/5.0.9	60004	
FSL/6.0.0	7955	
FSL/6.0.0-centos7_64	0	
FSL/6.0.1-centos7_64	368	
FSL/6.0.3-centos7_64	73	
FSLeyes/0.32.3	9	
FSLeyes/0.33.1	3	
FreeSurfer/5.3.0	37	
FreeSurfer/5.3.0-HCP	1559	
FreeSurfer/6.0.0	564218	
FreeSurfer/7.1.0-centos7_x86_64	55	
FriBidi/1.0.1-foss-2018a	0	
GCC/5.4.0-2.26	2179	
GCC/6.4.0-2.28	45535	
GCC/7.3.0-2.30	0	
GCCcore/5.4.0	2180	
GCCcore/6.4.0	31703	
GCCcore/7.3.0	0	
GLib/2.54.3-GCCcore-6.4.0	1864	
GLib/2.54.3-GCCcore-7.3.0	0	
GLib/2.56.4-GCCcore-6.4.0	14	
GMP/6.1.2-GCCcore-6.4.0	6279	
GMP/6.1.2-GCCcore-7.3.0	0	
GObject-Introspection/1.54.1-foss-2018a-Python-2.7.14	0	
GSL/2.5-foss-2018a	0	
GTK+/2.24.32-foss-2018a	25	
Gdk-Pixbuf/2.36.11-foss-2018a	25	
HDF5/1.10.1-GCCcore-6.4.0-serial	20224	
HDF5/1.10.1-foss-2018a	0	
HarfBuzz/1.7.5-foss-2018a	25	
JUnit/4.12-Java-1.8.0_92	0	
JasPer/2.0.14-GCCcore-6.4.0	22	
Java/1.7.0_45	0	
Java/1.8.0_92	20610	
Julia/1.3.1-linux-x86_64	94	
LAME/3.100-GCCcore-6.4.0	133	
LLVM/5.0.1-GCCcore-6.4.0	93	
LLVM/6.0.0-GCCcore-7.3.0	0	
LMDB/0.9.21-GCCcore-6.4.0	0	
LevelDB/1.18-foss-2018a	0	
LibTIFF/4.0.9-GCCcore-6.4.0	29	
LibTIFF/4.0.9-GCCcore-7.3.0	0	
M4/1.4.17	0	
M4/1.4.17-GCCcore-5.4.0	0	
M4/1.4.18	0	
M4/1.4.18-GCCcore-6.4.0	2	
M4/1.4.18-GCCcore-7.3.0	0	
MATLAB/2012b	0	
MATLAB/2013b	0	
MATLAB/2014a	1	
MATLAB/2016b	61067	
MATLAB/2017a	306	
MATLAB/2017b	20497	
MATLAB/2018b	1376	
MATLAB/2019b	3097	
MATLAB/2020a	0	
MATLAB/2020b	0	
MRtrix3/3.0_RC3-foss-2018a	90	
Mako/1.0.7-foss-2018a-Python-2.7.14	0	
Mako/1.0.7-foss-2018b-Python-3.6.6	0	
Mako/1.1.0-foss-2018a-Python-3.6.4	0	
Mesa/17.3.6-foss-2018a	93	
Mesa/18.1.1-foss-2018b	0	
NASM/2.13.03-GCCcore-6.4.0	4356	
NASM/2.13.03-GCCcore-7.3.0	0	
NLopt/2.4.2-foss-2018a	0	
Octave/4.2.1-foss-2016b	0	
OpenBLAS/0.2.18-GCC-5.4.0-2.26-LAPACK-3.6.1	2175	
OpenBLAS/0.2.20-GCC-6.4.0-2.28	40246	
OpenBLAS/0.3.1-GCC-7.3.0-2.30	0	
