	sum 	deprecate?	flag for upgrade?	comments
ABySS/1.9.0-foss-2016a	0			
ADMIXTURE/1.3.0	20			
Agalma/1.0.1	0			
Anaconda2/4.2.0	104			
Apps/Bowtie/1.1.2	5			
Apps/PennCNV/1.0.3	1			
Apps/SAMtools/1.3	33			
Apps/ucsc/2016-05-27	20			
Apps/vcflib/2016-03-02	3908			
Armadillo/7.800.3-foss-2016b-Python-2.7.13	0			
Aspera-CLI/3.7.6.636.4d51a47	5			
Aspera-CLI/3.9.0.1326.6985b21	0			
Aspera-CLI/3.9.6.1467.159c5b1	6			
Augustus/3.2.3-foss-2016b	9			
Autoconf/2.69	0			
Autoconf/2.69-GCC-5.4.0-2.26	0			
Autoconf/2.69-GCCcore-6.3.0	0			
Autoconf/2.69-GCCcore-6.4.0	2			
Autoconf/2.69-GCCcore-7.3.0	6			
Autoconf/2.69-foss-2016a	0			
Autoconf/2.69-foss-2016b	0			
Automake/1.15	0			
Automake/1.15-GCC-5.4.0-2.26	0			
Automake/1.15-GCCcore-6.3.0	0			
Automake/1.15-foss-2016a	0			
Automake/1.15-foss-2016b	0			
Automake/1.15.1-GCCcore-6.4.0	2			
Automake/1.16.1-GCCcore-7.3.0	5			
Autotools/20150215	0			
Autotools/20150215-GCC-5.4.0-2.26	0			
Autotools/20150215-GCCcore-6.3.0	0			
Autotools/20150215-foss-2016a	0			
Autotools/20150215-foss-2016b	0			
Autotools/20170619-GCCcore-6.4.0	2			
Autotools/20180311-GCCcore-7.3.0	4			
BBMap/37.17-foss-2016a-Java-1.8.0_121	147			
BCFtools/1.3-foss-2016a	0			
BCFtools/1.3-foss-2016b	0			
BCFtools/1.4.1-foss-2016a	81			
BCFtools/1.4.1-foss-2016b	7			
BCFtools/1.5-foss-2016b	684			
BCFtools/1.9-foss-2018b	203			
BEDOPS/2.4.26	760			
BEDTools/2.23.0-foss-2016a	145			
BEDTools/2.24.0-foss-2016a	1			
BEDTools/2.26.0-foss-2016a	1982			
BEDTools/2.27.1-foss-2016b	4650			
BEDTools/2.27.1-foss-2018b	4629			
BLAST+/2.3.0-foss-2016b-Python-2.7.11	27			
BLAST+/2.6.0-foss-2016b-Python-3.5.1	139			
BLAT/3.5-foss-2016a	267			
BLAT/3.5-foss-2018b	21			
BUSCO/2.0.1-foss-2016b	1			
BWA/0.7.15-foss-2016a	63			
BWA/0.7.17-foss-2016b	183			
BWA/0.7.17-foss-2018b	2144			
BamTools/2.4.0-foss-2016a	1			
BamTools/2.4.0-foss-2016b	2			
BamTools/2.5.1-foss-2016b	0			
BamTools/2.5.1-foss-2018b	4375			
Beagle/5.1-21Mar20.d65	4			
